ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PH,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,22,IZTAPALAPA,138,328,10433,9817,25062,4557,5278,3992,1769,64769,3861,2360,,,,,,,,,,,131898,92,4980,136970,196689,
9,CIUDAD DE MEXICO,23,ALVARO OBREGON,215,457,48118,19289,20266,7529,5126,4331,2579,68667,4303,3256,,,,,,,,,,,183464,127,5868,189459,259036,
9,CIUDAD DE MEXICO,24,IZTAPALAPA,215,449,25665,15764,24516,8256,6250,5264,2960,78839,5284,4591,,,,,,,,,,,177389,179,6634,184202,252841,
9,CIUDAD DE MEXICO,25,XOCHIMILCO,108,340,14629,11193,10240,7368,6152,3681,3040,63619,4055,3601,,,,,,,8381,,,,135959,396,5390,141745,215140,
9,CIUDAD DE MEXICO,26,COYOACAN,165,382,48837,18270,8752,6057,3272,2945,1835,56641,2652,2190,,,,,,,,13458,,,164909,206,4774,169889,227248,
9,CIUDAD DE MEXICO,27,IZTAPALAPA,118,331,7949,6734,25039,4285,6282,4069,2572,71725,4311,2109,,,,,,,,,,,135075,89,5553,140717,207662,
9,CIUDAD DE MEXICO,28,IZTAPALAPA,139,334,15440,10278,21115,5832,5704,3862,2101,68878,4144,3117,,,,,,,,,,,140471,90,5198,145759,203373,
9,CIUDAD DE MEXICO,29,IZTAPALAPA,109,316,8698,7193,24978,4567,6041,3031,1760,67715,4148,2188,,,,,,,,,,,130319,65,4798,135182,201482,
9,CIUDAD DE MEXICO,30,COYOACAN,167,384,37725,16566,24380,6357,4192,3521,2338,59504,3737,3438,,,,,,,,,,,161758,151,5116,167025,221223,
9,CIUDAD DE MEXICO,31,IZTAPALAPA,130,342,10471,8191,23203,4878,5895,3012,1544,69720,4029,1903,,,,,,,,,2737,,135583,205,4945,140733,203643,
9,CIUDAD DE MEXICO,32,COYOACAN,156,408,18707,11654,36932,5442,5031,3577,2285,79706,3747,3051,,,,,,,,,,2877,173009,279,5768,179056,247088,
9,CIUDAD DE MEXICO,33,LA MAGDALENA CONTRERAS,147,342,20042,24363,4607,5686,4440,5344,1704,62927,3456,3087,,,,,,,,,,,135656,87,4971,140714,196534,
