ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA_ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_ES,PRI_NVA_ALIANZA_ES,PRI_PVEM,PRI_NVA_ALIANZA,PRI_ES,PVEM_NVA_ALIANZA_ES,PVEM_NVA_ALIANZA,PVEM_ES,NVA_ALIANZA_ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
15,MEXICO,30,NAUCALPAN DE JUAREZ,195,444,18226,32300,9724,976,1711,871,38144,949,245,145,52,43,485,76,46,4,25,7,12,2809,125,106850,3481,110456,257598,42.8792
15,MEXICO,31,LOS REYES ACAQUILPAN,113,392,4744,39750,28132,717,1797,968,35359,794,314,205,55,97,564,119,83,13,32,4,20,1688,151,115455,3486,119092,246782,48.258
15,MEXICO,32,NAUCALPAN DE JUAREZ,139,418,20965,33884,11715,1075,1534,908,42893,946,264,161,52,65,520,88,46,10,34,10,15,3088,172,118273,3885,122330,263363,46.4492
15,MEXICO,33,TECAMAC DE FELIPE VILLANUEVA,157,474,18028,48782,19329,1662,1552,1443,65662,1156,419,195,68,109,561,137,66,13,31,6,18,4420,308,163657,5429,169394,304726,55.589
15,MEXICO,34,TOLUCA DE LERDO,151,433,25657,48914,36499,3185,1197,993,42161,515,521,304,58,129,594,175,42,9,24,7,22,5120,175,166126,4241,170542,262679,64.9241
15,MEXICO,35,METEPEC,113,393,22167,42484,35403,5948,1329,1104,43803,495,332,179,30,60,433,135,38,9,13,6,14,4574,186,158556,3573,162315,249302,65.1078
15,MEXICO,36,SAN MIGUEL ZINACANTEPEC,92,364,20906,41479,32159,3373,1714,1136,35011,634,404,270,52,87,702,162,46,3,27,5,6,3945,111,142121,4032,146264,239715,61.0158
15,MEXICO,37,TLALNEPANTLA DE BAZ,113,379,11997,32291,11305,970,1446,1290,39818,1036,250,194,51,68,602,121,67,14,24,10,9,2103,169,103666,3639,107474,244139,44.0216
15,MEXICO,38,COACALCO DE BERRIOZABAL,134,415,14349,31725,24218,1062,1467,1144,53800,873,254,129,51,42,329,76,36,5,19,3,8,4030,237,133620,3949,137806,260304,52.9404
15,MEXICO,39,ACOLMAN DE NEZAHUALCOYOTL,147,427,14687,57087,14659,1371,1650,1155,57357,930,335,215,53,97,590,121,63,13,23,12,7,2288,81,152713,4109,156903,258304,60.7435
15,MEXICO,40,IXTAPALUCA,159,411,8235,30427,20363,787,2289,971,40225,950,321,148,69,81,525,107,61,8,20,8,16,3335,135,108946,3669,112750,246248,45.7872
15,MEXICO,41,NEZAHUALCOYOTL,222,500,3435,24708,75505,695,1016,844,30424,712,160,65,23,32,220,65,18,10,14,2,5,1443,125,139396,3594,143115,282493,50.6614
15,MEXICO,42,ECATEPEC DE MORELOS,159,370,7280,26863,20972,738,1483,1087,39587,584,195,132,35,46,400,120,51,7,17,6,4,2254,125,101861,3362,105348,211926,49.7098
15,MEXICO,43,CUAUTITLAN IZCALLI,174,419,21646,32159,15467,1292,1676,1341,55863,984,301,170,35,80,408,105,42,8,19,9,7,4158,210,135770,3418,139398,252537,55.199
15,MEXICO,44,NICOLAS ROMERO,100,416,17961,46822,12958,1358,2442,1423,44584,1171,350,226,71,80,724,144,97,11,23,12,18,3211,128,133686,4219,138033,269486,51.2208
15,MEXICO,45,ALMOLOYA DE JUAREZ,107,364,17106,48561,19234,3292,2534,1030,32436,611,420,273,59,89,816,190,48,2,37,7,11,2993,71,129749,4275,134095,224105,59.8358
15,MEXICO,VMRE,MEXIQUENSES EN EL EXTRANJERO,VMRE,1,71,21,24,8,1,1,135,0,13,0,0,0,0,0,0,0,0,0,0,14,3,288,6,297,365,81.3699
