CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PH,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,25,1,68,70,53,20,9,11,7,217,17,10,5,2,0,0,2,1,1,0,,,,,,493,0,7,500,697
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,26,2,117,71,51,19,12,13,2,238,21,7,9,4,0,9,3,4,0,1,,,,,,581,0,18,599,833
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,27,2,81,65,65,24,20,21,7,300,14,17,8,3,0,2,5,1,2,0,,,,,,635,0,14,649,930
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,28,3,349,140,150,49,26,40,20,626,23,33,9,0,0,3,10,5,1,1,,,,,,1485,2,36,1523,2088
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,29,2,99,66,57,14,13,15,10,288,13,11,10,1,0,0,7,6,0,0,,,,,,610,0,19,629,933
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,30,2,100,34,55,15,9,15,11,191,8,5,4,2,0,0,3,4,0,1,,,,,,457,0,13,470,1279
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,31,2,144,46,114,16,11,16,6,259,16,13,6,1,0,1,6,5,0,5,,,,,,665,0,22,687,937
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,788
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,33,1,62,88,55,25,13,11,3,210,4,5,6,1,1,0,6,2,0,2,,,,,,494,9,19,522,738
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,34,1,175,49,28,11,7,6,2,135,4,11,4,1,0,0,2,1,2,0,,,,,,438,1,14,453,613
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,35,2,207,73,32,24,17,15,6,216,8,13,4,2,0,2,5,0,1,1,,,,,,626,1,12,639,822
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,36,2,188,66,28,18,11,15,11,207,14,17,8,3,0,0,2,1,0,0,,,,,,589,0,23,612,827
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,37,2,223,82,30,29,9,14,8,196,10,18,7,2,0,0,10,0,0,0,,,,,,638,0,9,647,824
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,38,2,130,52,127,10,9,15,4,224,7,6,5,0,0,0,11,2,0,0,,,,,,602,0,16,618,848
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,39,2,167,71,61,28,20,12,12,320,16,26,17,4,0,4,10,1,1,0,,,,,,770,0,19,789,1075
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,40,2,129,52,38,16,13,8,4,259,5,25,8,3,0,2,4,3,0,0,,,,,,569,0,19,588,795
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,41,2,135,54,66,19,12,19,2,264,10,27,12,6,0,3,6,0,0,2,,,,,,637,0,20,657,920
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,42,2,93,32,65,16,21,10,1,230,12,22,3,2,0,3,0,1,0,1,,,,,,512,1,12,525,759
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,43,2,139,55,59,22,17,13,6,314,10,14,6,1,0,0,5,1,0,1,,,,,,663,0,16,679,910
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,44,2,191,50,29,26,5,9,6,216,12,7,4,0,0,1,5,0,1,1,,,,,,563,0,13,576,761
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,45,2,248,87,29,27,10,9,11,228,4,14,5,0,0,0,5,2,1,0,,,,,,680,1,11,692,894
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,46,1,200,56,33,13,6,10,7,163,8,8,4,1,0,0,7,1,0,0,,,,,,517,0,11,528,712
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,47,2,115,54,61,19,21,9,15,305,13,25,6,3,0,6,8,3,0,3,,,,,,666,0,16,682,930
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,48,2,181,95,111,22,13,29,10,348,19,14,14,2,1,2,6,1,0,2,,,,,,870,2,19,891,1175
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,49,1,107,51,52,23,14,14,12,237,9,6,4,0,0,0,4,0,0,0,,,,,,533,1,16,550,747
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,50,2,106,54,59,20,20,17,2,384,18,13,8,1,1,8,7,1,0,0,,,,,,719,0,19,738,1051
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,51,2,126,65,118,35,26,19,15,359,17,22,21,2,0,3,15,2,1,6,,,,,,852,0,22,874,1222
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,52,2,152,89,32,22,14,8,5,241,13,11,0,2,0,1,4,2,0,0,,,,,,596,0,16,612,830
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,53,2,172,87,32,23,14,8,11,205,8,10,6,7,0,0,3,0,0,0,,,,,,586,1,12,599,790
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,54,2,139,67,109,22,27,10,8,408,21,71,13,5,0,2,8,2,0,1,,,,,,913,0,31,944,1287
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,55,2,207,63,48,19,15,15,12,272,10,8,3,0,0,0,8,1,1,0,,,,,,682,0,13,695,900
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,56,6,367,153,327,86,68,60,37,1408,44,51,34,7,0,7,31,7,0,1,,,,,,2688,3,43,2734,3966
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,57,2,85,36,79,24,32,21,13,383,17,12,22,5,0,5,2,0,1,0,,,,,,737,0,33,770,1118
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,58,3,144,69,169,24,39,25,12,488,26,15,17,8,1,2,12,6,1,1,,,,,,1059,1,33,1093,1541
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,59,2,140,43,121,31,26,18,13,490,18,10,15,7,0,2,15,5,0,3,,,,,,957,0,25,982,1312
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,60,2,113,56,107,21,19,24,12,387,15,10,15,2,1,5,13,4,1,1,,,,,,806,7,21,834,1176
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,61,2,121,40,153,26,22,30,11,436,11,12,18,5,1,3,17,4,1,0,,,,,,911,1,14,926,1301
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,62,2,139,61,91,23,24,24,11,370,12,14,12,3,0,2,7,2,0,0,,,,,,795,0,23,818,1195
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,63,2,145,31,80,17,13,12,10,307,14,12,13,2,0,3,9,5,1,1,,,,,,675,0,24,699,948
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,64,2,153,54,161,32,32,19,5,393,13,10,19,13,0,1,8,2,2,5,,,,,,922,0,28,950,1392
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,65,2,143,72,171,40,23,25,14,389,4,20,20,6,0,3,11,5,0,3,,,,,,949,0,14,963,1403
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,66,2,106,40,115,19,26,27,6,394,20,15,19,3,0,6,11,3,1,2,,,,,,813,1,21,835,1241
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,67,3,162,73,139,39,31,30,14,498,14,25,13,2,0,1,16,1,0,0,,,,,,1058,0,34,1092,1592
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,68,2,146,44,99,32,27,19,11,395,16,20,17,4,0,4,9,1,0,0,,,,,,844,1,28,873,1220
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,69,2,142,71,150,26,16,30,6,374,16,18,8,5,0,3,18,1,0,1,,,,,,885,0,29,914,1381
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,70,3,277,107,108,50,38,29,20,645,27,29,30,6,0,2,6,5,1,0,,,,,,1380,1,36,1417,2095
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,71,2,226,73,98,37,13,19,18,410,20,19,24,3,0,0,7,5,1,1,,,,,,974,1,25,1000,1395
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,72,2,101,29,54,16,15,8,11,249,10,12,12,1,0,0,4,4,0,0,,,,,,526,1,13,540,1461
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,73,2,150,56,126,26,14,25,6,370,23,11,27,8,0,1,10,7,1,1,,,,,,862,0,17,879,1204
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,74,2,131,51,97,35,17,18,12,320,12,16,16,5,0,2,7,2,0,1,,,,,,742,11,10,763,1033
