CountryISO3,year,TradeFlow,NTM Coverage ratio,NTM Frequency ratio,Traded products - total,NTM affected product - count,Total Trade,NTM affected trade
ISR,2016,Import,22.24730598,19.94201698,4829,963,68942267.84,15337797.28
JAM,2015,Export,72.15022036,7.3611709,2323,171,1431785.706,1033036.542
JAM,2015,Import,53.87695074,38.30570902,4344,1664,5497337.103,2961797.603
JPN,2015,Export,41.23107257,30.405688,4782,1454,622792354.8,256783967.8
JPN,2015,Import,76.18421435,61.19760479,5010,3066,685577478.7,522301815.9
KHM,2015,Export,93.55171183,71.63724893,1643,1177,9227339.353,8632333.922
KHM,2015,Import,82.75861474,72.85499247,3986,2904,11633393.19,9627635.049
KWT,2015,Export,25.584334,11.9307069,3579,427,68610427.41,17553520.91
KWT,2015,Import,41.36754671,23.5642755,4893,1153,33330055.85,13787826.42
LBN,2016,Export,8.272171565,10.26461181,3439,353,4394863.944,363550.6855
LBN,2016,Import,57.28405954,26.3671875,4608,1215,26577815.03,15224851.38
LBR,2014,Export,36.26975653,38.87569279,1263,491,2831902.994,1027124.321
LBR,2014,Import,19.15336336,46.4738292,3630,1687,16443741.62,3149529.583
LKA,2016,Export,30.58105904,23.07692308,3913,903,11283180.28,3450516.023
LKA,2016,Import,63.29573963,46.70534604,4826,2254,20519708.91,12988101.52
MAR,2016,Export,32.14586654,24.10936205,3621,873,31325888.51,10069978.31
MAR,2016,Import,57.25117865,44.55094811,4799,2138,55074378.36,31530730.75
MEX,2017,Export,20.71643366,19.11157025,4840,925,383963662.1,79543577.33
MEX,2017,Import,52.96524929,49.41035379,5003,2472,385198968.8,204021594.1
MMR,2015,Export,69.97007404,29.75088968,1405,418,13327521.45,9325276.625
MMR,2015,Import,60.23752727,38.43864469,4368,1679,17178161.56,10347699.76
MRT,2015,Export,31.99678392,12.82722513,1146,147,5848418.525,1871305.838
MRT,2015,Import,36.57657178,17.92922674,3815,684,6762350.885,2473436.126
MYS,2015,Export,14.88446119,21.38116964,4822,1031,211521362.8,31483815.16
MYS,2015,Import,54.95550785,36.60310596,5087,1862,188524891.3,103604811.4
NER,2014,Export,1.542383851,0.99009901,1212,12,1133212.611,17478.4883
NER,2014,Import,28.50562287,18.78062058,3674,690,2521156.525,718671.3709
NGA,2013,Export,1.022465293,24.40585009,1094,267,97906155.4,1001056.458
NGA,2013,Import,94.3319628,85.8988395,4567,3923,57430704.41,54175510.72
NIC,2016,Export,42.67172411,13.22957198,2570,340,6531734.798,2787203.852
NIC,2016,Import,56.70771622,39.6519285,4252,1686,8664195.051,4913267.142
NPL,2012,Export,1.066563751,0.636942675,1413,9,886969.9687,9460.100167
NPL,2012,Import,33.69315407,21.96721311,4575,1005,9341137.301,3147323.782
NZL,2016,Export,60.17038491,18.01526718,4585,826,36424125.38,21916536.44
NZL,2016,Import,76.92586849,53.41704405,4858,2595,39305824.55,30236346.91
OMN,2015,Export,76.0843512,18.95839949,3149,597,39166107.9,29799279.09
OMN,2015,Import,54.78320825,53.26695706,4821,2568,31776744.63,17408320.19
PAK,2016,Export,18.64690272,13.88888889,3708,515,23368866.76,4357569.852
PAK,2016,Import,33.12481256,15.23668639,4732,721,48896333.09,16196818.69
PAN,2016,Export,0.040226039,0.050479556,3962,2,12633431.15,5081.929
PAN,2016,Import,14.86307169,5.793650794,3780,219,10708129.13,1591556.909
PER,2016,Export,14.30380295,9.378806334,4105,385,37047347.8,5299179.627
PER,2016,Import,53.29789711,35.04454815,4714,1652,40371900.59,21517374.04
PHL,2015,Export,71.60478402,41.16238572,4594,1891,158513375.7,113503160.3
PHL,2015,Import,84.75946899,71.85929648,4975,3575,206951080.5,175410636.9
PRY,2016,Export,31.5389585,10.82550667,2023,219,9418900.824,2970623.222
PRY,2016,Import,50.70124286,30.06007394,4328,1301,11259889.81,5708904.08
PSE,2014,Export,13.11278903,11.59305994,1268,147,1346708.828,176591.0875
PSE,2014,Import,57.07191566,52.9476584,3630,1922,7505388.018,4283468.719
QAT,2016,Export,0.542648808,12.53584596,2441,306,81215749.88,440716.2987
QAT,2016,Import,67.94115278,60.35964036,5005,3021,33628663,22847701.31
RUS,2016,Export,55.71204845,91.4902198,4959,4537,380795947.5,212149222.7
RUS,2016,Import,90.46996324,80.81810961,5036,4070,226660733.1,205059881.9
SAU,2016,Export,6.04440872,51.18534483,3712,1900,436813549.6,26402796.28
SAU,2016,Import,75.45122526,70.28331584,4765,3349,161443956.6,121811443.4
SEN,2012,Export,32.94230172,10.488677,2517,264,2919897.052,961881.2966
SEN,2012,Import,48.30062469,28.76744186,4300,1237,6554679.732,3165951.257
SGP,2015,Export,18.94128279,15.54124247,4813,748,345440998.8,65430956.46
SGP,2015,Import,39.30311693,27.79387417,4832,1343,315067549.8,123831367.5
SLV,2016,Export,0.045264971,0.060587701,3301,2,5564381.732,2518.7158
SLV,2016,Import,0.89501236,0.914634146,4592,42,10620514.79,95054.92
SUR,2015,Export,9.382129701,2.576335878,1048,27,519412.4709,48731.9517
SUR,2015,Import,12.26505131,14.17910448,3082,437,2124364.587,260554.4065
THA,2015,Export,11.39691277,4.911075182,4948,243,220864963.4,25171787.21
THA,2015,Import,31.08654059,29.63254077,5089,1508,213375560.4,66331080.2
TJK,2015,Export,20.59045543,16.41025641,1365,224,1867856.589,384600.1786
TJK,2015,Import,55.7573552,34.69275282,3629,1259,8455042.521,4714308.091
TTO,2015,Export,81.74165293,36.58945955,2979,1090,17038416.2,13927483.04
TTO,2015,Import,58.58195848,33.38842975,4235,1414,10400921.56,6093063.55
TUN,2016,Export,56.65522721,42.82851417,3493,1496,15557537.56,8814158.253
TUN,2016,Import,70.62527807,58.17104149,4724,2748,22737652.48,16058530.29
TUR,2016,Export,24.15748784,19.24815119,4868,937,150494350.6,36355654.46
TUR,2016,Import,60.74127376,67.62002043,4895,3310,195487420.6,118741549.3
URY,2016,Export,32.16970053,2.481582009,2579,64,8619631.223,2772909.551
URY,2016,Import,62.4103977,47.78172138,4508,2154,10259328.48,6402887.705
USA,2014,Export,31.92438334,29.83233764,5189,1548,1383020047,441520621.4
USA,2014,Import,77.36405355,61.52355108,5159,3174,2250153572,1740810014
VEN,2016,Export,NULL,NULL,NULL,0,NULL,NULL
VEN,2016,Import,10.09398093,3.454306952,4574,158,62106666.06,6269035.027
VNM,2015,Export,46.5297029,21.80755396,4448,970,166317922.9,77387235.41
VNM,2015,Import,37.98613079,47.03517588,4975,2340,165581468.5,62897993.18
WLD,75,Export,27.3144581,21.88338928,229087,50132,9186360685,2509204640
WLD,75,Import,71.98210308,43.04243839,334909,144153,9913717599,7136102421
