Date,FIX,"Published in
DOF","In order to pay
obligations"
05/11/1993,3.1355,3.1309,3.1335
05/12/1993,3.1291,3.1355,3.1309
05/13/1993,3.1310,3.1291,3.1355
05/14/1993,3.1289,3.1310,3.1291
05/15/1993,N/E,N/E,3.1310
05/16/1993,N/E,N/E,3.1310
05/17/1993,3.1270,3.1289,3.1310
05/18/1993,3.1169,3.1270,3.1289
05/19/1993,3.1132,3.1169,3.1270
05/20/1993,3.1109,3.1132,3.1169
05/21/1993,3.1097,3.1109,3.1132
05/22/1993,N/E,N/E,3.1109
05/23/1993,N/E,N/E,3.1109
05/24/1993,3.1172,3.1097,3.1109
05/25/1993,3.1242,3.1172,3.1097
05/26/1993,3.1294,3.1242,3.1172
05/27/1993,3.1227,3.1294,3.1242
05/28/1993,3.1224,3.1227,3.1294
05/29/1993,N/E,N/E,3.1227
05/30/1993,N/E,N/E,3.1227
05/31/1993,3.1190,3.1224,3.1227
06/01/1993,3.1264,3.1190,3.1224
06/02/1993,3.1219,3.1264,3.1190
06/03/1993,3.1250,3.1219,3.1264
06/04/1993,3.1251,3.1250,3.1219
06/05/1993,N/E,N/E,3.1250
06/06/1993,N/E,N/E,3.1250
06/07/1993,3.1256,3.1251,3.1250
06/08/1993,3.1321,3.1256,3.1251
06/09/1993,3.1269,3.1321,3.1256
06/10/1993,3.1282,3.1269,3.1321
06/11/1993,3.1210,3.1282,3.1269
06/12/1993,N/E,N/E,3.1282
06/13/1993,N/E,N/E,3.1282
06/14/1993,3.1222,3.1210,3.1282
06/15/1993,3.1166,3.1222,3.1210
06/16/1993,3.1199,3.1166,3.1222
06/17/1993,3.1171,3.1199,3.1166
06/18/1993,3.1169,3.1171,3.1199
06/19/1993,N/E,N/E,3.1171
06/20/1993,N/E,N/E,3.1171
06/21/1993,3.1139,3.1169,3.1171
06/22/1993,3.1166,3.1139,3.1169
06/23/1993,3.1157,3.1166,3.1139
06/24/1993,3.1160,3.1157,3.1166
06/25/1993,3.1195,3.1160,3.1157
06/26/1993,N/E,N/E,3.1160
06/27/1993,N/E,N/E,3.1160
06/28/1993,3.1212,3.1195,3.1160
06/29/1993,3.1186,3.1212,3.1195
06/30/1993,3.1180,3.1186,3.1212
07/01/1993,3.1292,3.1180,3.1186
07/02/1993,3.1224,3.1292,3.1180
07/03/1993,N/E,N/E,3.1292
07/04/1993,N/E,N/E,3.1292
07/05/1993,3.1224,3.1224,3.1292
07/06/1993,3.1224,3.1224,3.1224
07/07/1993,3.1236,3.1224,3.1224
07/08/1993,3.1261,3.1236,3.1224
07/09/1993,3.1246,3.1261,3.1236
07/10/1993,N/E,N/E,3.1261
07/11/1993,N/E,N/E,3.1261
07/12/1993,3.1294,3.1246,3.1261
07/13/1993,3.1284,3.1294,3.1246
07/14/1993,3.1235,3.1284,3.1294
07/15/1993,3.1242,3.1235,3.1284
07/16/1993,3.1244,3.1242,3.1235
07/17/1993,N/E,N/E,3.1242
07/18/1993,N/E,N/E,3.1242
07/19/1993,3.1255,3.1244,3.1242
07/20/1993,3.1241,3.1255,3.1244
07/21/1993,3.1230,3.1241,3.1255
07/22/1993,3.1229,3.1230,3.1241
07/23/1993,3.1251,3.1229,3.1230
07/24/1993,N/E,N/E,3.1229
07/25/1993,N/E,N/E,3.1229
07/26/1993,3.1210,3.1251,3.1229
07/27/1993,3.1209,3.1210,3.1251
07/28/1993,3.1189,3.1209,3.1210
07/29/1993,3.1204,3.1189,3.1209
07/30/1993,3.1179,3.1204,3.1189
07/31/1993,N/E,N/E,3.1204
08/01/1993,N/E,N/E,3.1204
08/02/1993,3.1162,3.1179,3.1204
08/03/1993,3.1107,3.1162,3.1179
08/04/1993,3.1097,3.1107,3.1162
08/05/1993,3.1149,3.1097,3.1107
08/06/1993,3.1137,3.1149,3.1097
08/07/1993,N/E,N/E,3.1149
08/08/1993,N/E,N/E,3.1149
08/09/1993,3.1100,3.1137,3.1149
08/10/1993,3.1110,3.1100,3.1137
08/11/1993,3.1100,3.1110,3.1100
08/12/1993,3.1165,3.1100,3.1110
08/13/1993,3.1079,3.1165,3.1100
08/14/1993,N/E,N/E,3.1165
08/15/1993,N/E,N/E,3.1165
08/16/1993,3.1110,3.1079,3.1165
08/17/1993,3.1104,3.1110,3.1079
08/18/1993,3.1119,3.1104,3.1110
08/19/1993,3.1131,3.1119,3.1104
08/20/1993,3.1124,3.1131,3.1119
08/21/1993,N/E,N/E,3.1131
08/22/1993,N/E,N/E,3.1131
08/23/1993,3.1112,3.1124,3.1131
08/24/1993,3.1109,3.1112,3.1124
08/25/1993,3.1104,3.1109,3.1112
08/26/1993,3.1117,3.1104,3.1109
08/27/1993,3.1145,3.1117,3.1104
08/28/1993,N/E,N/E,3.1117
08/29/1993,N/E,N/E,3.1117
08/30/1993,3.1142,3.1145,3.1117
08/31/1993,3.1142,3.1142,3.1145
09/01/1993,3.1137,3.1142,3.1142
09/02/1993,3.1139,3.1137,3.1142
09/03/1993,3.1139,3.1139,3.1137
09/04/1993,N/E,N/E,3.1139
09/05/1993,N/E,N/E,3.1139
09/06/1993,3.1117,3.1139,3.1139
09/07/1993,3.1130,3.1117,3.1139
09/08/1993,3.1124,3.1130,3.1117
09/09/1993,3.1127,3.1124,3.1130
09/10/1993,3.1119,3.1127,3.1124
09/11/1993,N/E,N/E,3.1127
09/12/1993,N/E,N/E,3.1127
09/13/1993,3.1119,3.1119,3.1127
09/14/1993,3.1109,3.1119,3.1119
09/15/1993,3.1108,3.1109,3.1119
09/16/1993,N/E,3.1108,3.1109
09/17/1993,3.1093,N/E,3.1108
09/18/1993,N/E,N/E,N/E
09/19/1993,N/E,N/E,N/E
09/20/1993,3.1073,3.1093,N/E
09/21/1993,3.1100,3.1073,3.1093
09/22/1993,3.1163,3.1100,3.1073
09/23/1993,3.1124,3.1163,3.1100
09/24/1993,3.1114,3.1124,3.1163
09/25/1993,N/E,N/E,3.1124
09/26/1993,N/E,N/E,3.1124
09/27/1993,3.1199,3.1114,3.1124
09/28/1993,3.1178,3.1199,3.1114
09/29/1993,3.1178,3.1178,3.1199
09/30/1993,3.1179,3.1178,3.1178
10/01/1993,3.1163,3.1179,3.1178
10/02/1993,N/E,N/E,3.1179
10/03/1993,N/E,N/E,3.1179
10/04/1993,3.1131,3.1163,3.1179
10/05/1993,3.1148,3.1131,3.1163
10/06/1993,3.1142,3.1148,3.1131
10/07/1993,3.1156,3.1142,3.1148
10/08/1993,3.1158,3.1156,3.1142
10/09/1993,N/E,N/E,3.1156
10/10/1993,N/E,N/E,3.1156
10/11/1993,3.1136,3.1158,3.1156
10/12/1993,N/E,3.1136,3.1158
10/13/1993,3.1129,N/E,3.1136
10/14/1993,3.1135,3.1129,N/E
