Date,FIX,"Published in
DOF","In order to pay
obligations"
10/28/2000,N/E,N/E,9.6777
10/29/2000,N/E,N/E,9.6777
10/30/2000,9.5995,9.6443,9.6777
10/31/2000,9.5642,9.5995,9.6443
11/01/2000,9.5824,9.5642,9.5995
11/02/2000,N/E,9.5824,9.5642
11/03/2000,9.5990,N/E,9.5824
11/04/2000,N/E,N/E,N/E
11/05/2000,N/E,N/E,N/E
11/06/2000,9.6438,9.5990,N/E
11/07/2000,9.6544,9.6438,9.5990
11/08/2000,9.6166,9.6544,9.6438
11/09/2000,9.6533,9.6166,9.6544
11/10/2000,9.6008,9.6533,9.6166
11/11/2000,N/E,N/E,9.6533
11/12/2000,N/E,N/E,9.6533
11/13/2000,9.5580,9.6008,9.6533
11/14/2000,9.4963,9.5580,9.6008
11/15/2000,9.4625,9.4963,9.5580
11/16/2000,9.4828,9.4625,9.4963
11/17/2000,9.4828,9.4828,9.4625
11/18/2000,N/E,N/E,9.4828
11/19/2000,N/E,N/E,9.4828
11/20/2000,N/E,9.4828,9.4828
11/21/2000,9.4098,N/E,9.4828
11/22/2000,9.3790,9.4098,N/E
11/23/2000,9.4057,9.3790,9.4098
11/24/2000,9.3930,9.4057,9.3790
11/25/2000,N/E,N/E,9.4057
11/26/2000,N/E,N/E,9.4057
11/27/2000,9.3692,9.3930,9.4057
11/28/2000,9.4058,9.3692,9.3930
11/29/2000,9.3973,9.4058,9.3692
11/30/2000,9.4155,9.3973,9.4058
12/01/2000,N/E,9.4155,9.3973
12/02/2000,N/E,N/E,9.4155
12/03/2000,N/E,N/E,9.4155
12/04/2000,9.4132,N/E,9.4155
12/05/2000,9.3737,9.4132,N/E
12/06/2000,9.4020,9.3737,9.4132
12/07/2000,9.4263,9.4020,9.3737
12/08/2000,9.3984,9.4263,9.4020
12/09/2000,N/E,N/E,9.4263
12/10/2000,N/E,N/E,9.4263
12/11/2000,9.4418,9.3984,9.4263
12/12/2000,N/E,9.4418,9.3984
12/13/2000,9.4497,N/E,9.4418
12/14/2000,9.4127,9.4497,N/E
12/15/2000,9.4079,9.4127,9.4497
12/16/2000,N/E,N/E,9.4127
12/17/2000,N/E,N/E,9.4127
12/18/2000,9.3788,9.4079,9.4127
12/19/2000,9.3790,9.3788,9.4079
12/20/2000,9.4348,9.3790,9.3788
12/21/2000,9.5727,9.4348,9.3790
12/22/2000,9.5980,9.5727,9.4348
12/23/2000,N/E,N/E,9.5727
12/24/2000,N/E,N/E,9.5727
12/25/2000,N/E,9.5980,9.5727
12/26/2000,9.5201,N/E,9.5980
12/27/2000,9.5722,9.5201,N/E
12/28/2000,9.5997,9.5722,9.5201
12/29/2000,9.6098,9.5997,9.5722
12/30/2000,N/E,N/E,9.5997
12/31/2000,N/E,N/E,9.5997
01/01/2001,N/E,9.6098,9.5997
01/02/2001,9.7140,N/E,9.6098
01/03/2001,9.8340,9.7140,N/E
01/04/2001,9.7080,9.8340,9.7140
01/05/2001,9.7546,9.7080,9.8340
01/06/2001,N/E,N/E,9.7080
01/07/2001,N/E,N/E,9.7080
01/08/2001,9.6900,9.7546,9.7080
01/09/2001,9.7417,9.6900,9.7546
01/10/2001,9.8167,9.7417,9.6900
01/11/2001,9.8548,9.8167,9.7417
01/12/2001,9.8798,9.8548,9.8167
01/13/2001,N/E,N/E,9.8548
01/14/2001,N/E,N/E,9.8548
01/15/2001,9.9018,9.8798,9.8548
01/16/2001,9.9778,9.9018,9.8798
01/17/2001,9.8878,9.9778,9.9018
01/18/2001,9.8870,9.8878,9.9778
01/19/2001,9.7953,9.8870,9.8878
01/20/2001,N/E,N/E,9.8870
01/21/2001,N/E,N/E,9.8870
01/22/2001,9.7863,9.7953,9.8870
01/23/2001,9.7683,9.7863,9.7953
01/24/2001,9.6923,9.7683,9.7863
01/25/2001,9.6830,9.6923,9.7683
01/26/2001,9.6909,9.6830,9.6923
01/27/2001,N/E,N/E,9.6830
01/28/2001,N/E,N/E,9.6830
01/29/2001,9.6687,9.6909,9.6830
01/30/2001,9.6692,9.6687,9.6909
01/31/2001,9.6828,9.6692,9.6687
02/01/2001,9.7328,9.6828,9.6692
02/02/2001,9.7560,9.7328,9.6828
02/03/2001,N/E,N/E,9.7328
02/04/2001,N/E,N/E,9.7328
02/05/2001,N/E,9.7560,9.7328
02/06/2001,9.6998,N/E,9.7560
02/07/2001,9.6945,9.6998,N/E
02/08/2001,9.6464,9.6945,9.6998
02/09/2001,9.7238,9.6464,9.6945
02/10/2001,N/E,N/E,9.6464
02/11/2001,N/E,N/E,9.6464
02/12/2001,9.7389,9.7238,9.6464
02/13/2001,9.7065,9.7389,9.7238
02/14/2001,9.7219,9.7065,9.7389
02/15/2001,9.6763,9.7219,9.7065
02/16/2001,9.7022,9.6763,9.7219
02/17/2001,N/E,N/E,9.6763
02/18/2001,N/E,N/E,9.6763
02/19/2001,9.7044,9.7022,9.6763
02/20/2001,9.6797,9.7044,9.7022
02/21/2001,9.7090,9.6797,9.7044
02/22/2001,9.7278,9.7090,9.6797
02/23/2001,9.7183,9.7278,9.7090
02/24/2001,N/E,N/E,9.7278
02/25/2001,N/E,N/E,9.7278
02/26/2001,9.6618,9.7183,9.7278
02/27/2001,9.6827,9.6618,9.7183
02/28/2001,9.7025,9.6827,9.6618
03/01/2001,9.7052,9.7025,9.6827
03/02/2001,9.6688,9.7052,9.7025
03/03/2001,N/E,N/E,9.7052
03/04/2001,N/E,N/E,9.7052
03/05/2001,9.6370,9.6688,9.7052
03/06/2001,9.6409,9.6370,9.6688
03/07/2001,9.6542,9.6409,9.6370
03/08/2001,9.6468,9.6542,9.6409
03/09/2001,9.6703,9.6468,9.6542
03/10/2001,N/E,N/E,9.6468
03/11/2001,N/E,N/E,9.6468
03/12/2001,9.6625,9.6703,9.6468
03/13/2001,9.6320,9.6625,9.6703
03/14/2001,9.5760,9.6320,9.6625
03/15/2001,9.5843,9.5760,9.6320
03/16/2001,9.6233,9.5843,9.5760
03/17/2001,N/E,N/E,9.5843
03/18/2001,N/E,N/E,9.5843
03/19/2001,9.5683,9.6233,9.5843
03/20/2001,9.5188,9.5683,9.6233
03/21/2001,N/E,9.5188,9.5683
03/22/2001,9.5722,N/E,9.5188
03/23/2001,9.6540,9.5722,N/E
03/24/2001,N/E,N/E,9.5722
03/25/2001,N/E,N/E,9.5722
03/26/2001,9.5315,9.6540,9.5722
03/27/2001,9.5139,9.5315,9.6540
03/28/2001,9.5380,9.5139,9.5315
03/29/2001,9.5203,9.5380,9.5139
03/30/2001,9.4933,9.5203,9.5380
03/31/2001,N/E,N/E,9.5203
04/01/2001,N/E,N/E,9.5203
04/02/2001,9.4152,9.4933,9.5203
04/03/2001,9.3914,9.4152,9.4933
04/04/2001,9.4201,9.3914,9.4152
04/05/2001,9.4140,9.4201,9.3914
04/06/2001,9.4059,9.4140,9.4201
04/07/2001,N/E,N/E,9.4140
04/08/2001,N/E,N/E,9.4140
04/09/2001,9.3587,9.4059,9.4140
04/10/2001,9.3093,9.3587,9.4059
04/11/2001,9.2908,9.3093,9.3587
04/12/2001,N/E,9.2908,9.3093
04/13/2001,N/E,N/E,9.2908
04/14/2001,N/E,N/E,N/E
04/15/2001,N/E,N/E,N/E
04/16/2001,9.3230,N/E,N/E
04/17/2001,9.2723,9.3230,N/E
04/18/2001,9.1966,9.2723,9.3230
04/19/2001,9.2748,9.1966,9.2723
04/20/2001,9.3525,9.2748,9.1966
04/21/2001,N/E,N/E,9.2748
04/22/2001,N/E,N/E,9.2748
04/23/2001,9.3700,9.3525,9.2748
04/24/2001,9.2768,9.3700,9.3525
04/25/2001,9.3123,9.2768,9.3700
04/26/2001,9.2671,9.3123,9.2768
04/27/2001,9.3049,9.2671,9.3123
04/28/2001,N/E,N/E,9.2671
04/29/2001,N/E,N/E,9.2671
04/30/2001,9.2537,9.3049,9.2671
05/01/2001,N/E,9.2537,9.3049
05/02/2001,9.2830,N/E,9.2537
05/03/2001,9.2873,9.2830,N/E
05/04/2001,9.2579,9.2873,9.2830
05/05/2001,N/E,N/E,9.2873
05/06/2001,N/E,N/E,9.2873
05/07/2001,9.2212,9.2579,9.2873
05/08/2001,9.2048,9.2212,9.2579
05/09/2001,9.2160,9.2048,9.2212
05/10/2001,9.1967,9.2160,9.2048
05/11/2001,9.2250,9.1967,9.2160
05/12/2001,N/E,N/E,9.1967
05/13/2001,N/E,N/E,9.1967
05/14/2001,9.1922,9.2250,9.1967
05/15/2001,9.1610,9.1922,9.2250
05/16/2001,9.1645,9.1610,9.1922
05/17/2001,8.9952,9.1645,9.1610
05/18/2001,8.9774,8.9952,9.1645
05/19/2001,N/E,N/E,8.9952
05/20/2001,N/E,N/E,8.9952
05/21/2001,8.9428,8.9774,8.9952
05/22/2001,8.9660,8.9428,8.9774
05/23/2001,9.0398,8.9660,8.9428
05/24/2001,9.0805,9.0398,8.9660
05/25/2001,9.0945,9.0805,9.0398
05/26/2001,N/E,N/E,9.0805
05/27/2001,N/E,N/E,9.0805
05/28/2001,9.0781,9.0945,9.0805
05/29/2001,9.0851,9.0781,9.0945
05/30/2001,9.1653,9.0851,9.0781
05/31/2001,9.1835,9.1653,9.0851
06/01/2001,9.1735,9.1835,9.1653
06/02/2001,N/E,N/E,9.1835
06/03/2001,N/E,N/E,9.1835
06/04/2001,9.1369,9.1735,9.1835
06/05/2001,9.1722,9.1369,9.1735
06/06/2001,9.1208,9.1722,9.1369
06/07/2001,9.1235,9.1208,9.1722
06/08/2001,9.0680,9.1235,9.1208
06/09/2001,N/E,N/E,9.1235
06/10/2001,N/E,N/E,9.1235
06/11/2001,9.0290,9.0680,9.1235
06/12/2001,9.0940,9.0290,9.0680
06/13/2001,9.1180,9.0940,9.0290
06/14/2001,9.0523,9.1180,9.0940
06/15/2001,9.0522,9.0523,9.1180
06/16/2001,N/E,N/E,9.0523
06/17/2001,N/E,N/E,9.0523
06/18/2001,9.0502,9.0522,9.0523
06/19/2001,9.0792,9.0502,9.0522
06/20/2001,9.0798,9.0792,9.0502
06/21/2001,9.0570,9.0798,9.0792
06/22/2001,9.0730,9.0570,9.0798
06/23/2001,N/E,N/E,9.0570
06/24/2001,N/E,N/E,9.0570
06/25/2001,9.0595,9.0730,9.0570
06/26/2001,9.0606,9.0595,9.0730
06/27/2001,9.0608,9.0606,9.0595
06/28/2001,9.0900,9.0608,9.0606
06/29/2001,9.0708,9.0900,9.0608
06/30/2001,N/E,N/E,9.0900
07/01/2001,N/E,N/E,9.0900
07/02/2001,9.0221,9.0708,9.0900
07/03/2001,9.0258,9.0221,9.0708
07/04/2001,9.0707,9.0258,9.0221
07/05/2001,9.0312,9.0707,9.0258
07/06/2001,9.1503,9.0312,9.0707
07/07/2001,N/E,N/E,9.0312
07/08/2001,N/E,N/E,9.0312
07/09/2001,9.1193,9.1503,9.0312
07/10/2001,9.1476,9.1193,9.1503
07/11/2001,9.2953,9.1476,9.1193
07/12/2001,9.3420,9.2953,9.1476
07/13/2001,9.3542,9.3420,9.2953
07/14/2001,N/E,N/E,9.3420
07/15/2001,N/E,N/E,9.3420
07/16/2001,9.2918,9.3542,9.3420
07/17/2001,9.1855,9.2918,9.3542
07/18/2001,9.1283,9.1855,9.2918
07/19/2001,9.2000,9.1283,9.1855
07/20/2001,9.1796,9.2000,9.1283
07/21/2001,N/E,N/E,9.2000
07/22/2001,N/E,N/E,9.2000
07/23/2001,9.1107,9.1796,9.2000
07/24/2001,9.1087,9.1107,9.1796
07/25/2001,9.1599,9.1087,9.1107
07/26/2001,9.1570,9.1599,9.1087
07/27/2001,9.1920,9.1570,9.1599
07/28/2001,N/E,N/E,9.1570
07/29/2001,N/E,N/E,9.1570
07/30/2001,9.1472,9.1920,9.1570
07/31/2001,9.1408,9.1472,9.1920
08/01/2001,9.2111,9.1408,9.1472
08/02/2001,9.1698,9.2111,9.1408
08/03/2001,9.1638,9.1698,9.2111
08/04/2001,N/E,N/E,9.1698
08/05/2001,N/E,N/E,9.1698
08/06/2001,9.1292,9.1638,9.1698
08/07/2001,9.1200,9.1292,9.1638
08/08/2001,9.0958,9.1200,9.1292
08/09/2001,9.0897,9.0958,9.1200
08/10/2001,9.1247,9.0897,9.0958
08/11/2001,N/E,N/E,9.0897
08/12/2001,N/E,N/E,9.0897
08/13/2001,9.0863,9.1247,9.0897
08/14/2001,9.1206,9.0863,9.1247
08/15/2001,9.0940,9.1206,9.0863
08/16/2001,9.0833,9.0940,9.1206
08/17/2001,9.1155,9.0833,9.0940
08/18/2001,N/E,N/E,9.0833
08/19/2001,N/E,N/E,9.0833
08/20/2001,9.1383,9.1155,9.0833
08/21/2001,9.1227,9.1383,9.1155
08/22/2001,9.1158,9.1227,9.1383
08/23/2001,9.1205,9.1158,9.1227
08/24/2001,9.1444,9.1205,9.1158
08/25/2001,N/E,N/E,9.1205
08/26/2001,N/E,N/E,9.1205
08/27/2001,9.1123,9.1444,9.1205
08/28/2001,9.1365,9.1123,9.1444
08/29/2001,9.1438,9.1365,9.1123
08/30/2001,9.1692,9.1438,9.1365
08/31/2001,9.2000,9.1692,9.1438
09/01/2001,N/E,N/E,9.1692
09/02/2001,N/E,N/E,9.1692
09/03/2001,9.1936,9.2000,9.1692
09/04/2001,9.1957,9.1936,9.2000
09/05/2001,9.2587,9.1957,9.1936
09/06/2001,9.2898,9.2587,9.1957
09/07/2001,9.3242,9.2898,9.2587
09/08/2001,N/E,N/E,9.2898
09/09/2001,N/E,N/E,9.2898
09/10/2001,9.3716,9.3242,9.2898
09/11/2001,9.5475,9.3716,9.3242
09/12/2001,9.4447,9.5475,9.3716
09/13/2001,9.4748,9.4447,9.5475
09/14/2001,9.4942,9.4748,9.4447
09/15/2001,N/E,N/E,9.4748
09/16/2001,N/E,N/E,9.4748
09/17/2001,9.4478,9.4942,9.4748
09/18/2001,9.4455,9.4478,9.4942
09/19/2001,9.4185,9.4455,9.4478
09/20/2001,9.4802,9.4185,9.4455
09/21/2001,9.4848,9.4802,9.4185
09/22/2001,N/E,N/E,9.4802
09/23/2001,N/E,N/E,9.4802
09/24/2001,9.4315,9.4848,9.4802
09/25/2001,9.4842,9.4315,9.4848
09/26/2001,9.5258,9.4842,9.4315
09/27/2001,9.5542,9.5258,9.4842
09/28/2001,9.5098,9.5542,9.5258
09/29/2001,N/E,N/E,9.5542
09/30/2001,N/E,N/E,9.5542
10/01/2001,9.5037,9.5098,9.5542
10/02/2001,9.5217,9.5037,9.5098
10/03/2001,9.5273,9.5217,9.5037
10/04/2001,9.5243,9.5273,9.5217
10/05/2001,9.5808,9.5243,9.5273
10/06/2001,N/E,N/E,9.5243
10/07/2001,N/E,N/E,9.5243
10/08/2001,9.5666,9.5808,9.5243
10/09/2001,9.5163,9.5666,9.5808
10/10/2001,9.4053,9.5163,9.5666
10/11/2001,9.3397,9.4053,9.5163
10/12/2001,9.3538,9.3397,9.4053
10/13/2001,N/E,N/E,9.3397
10/14/2001,N/E,N/E,9.3397
10/15/2001,9.2753,9.3538,9.3397
10/16/2001,9.2350,9.2753,9.3538
10/17/2001,9.2340,9.2350,9.2753
10/18/2001,9.2310,9.2340,9.2350
10/19/2001,9.1971,9.2310,9.2340
10/20/2001,N/E,N/E,9.2310
10/21/2001,N/E,N/E,9.2310
10/22/2001,9.1977,9.1971,9.2310
10/23/2001,9.2243,9.1977,9.1971
10/24/2001,9.2173,9.2243,9.1977
10/25/2001,9.2469,9.2173,9.2243
10/26/2001,9.2722,9.2469,9.2173
10/27/2001,N/E,N/E,9.2469
10/28/2001,N/E,N/E,9.2469
10/29/2001,9.2421,9.2722,9.2469
10/30/2001,9.2682,9.2421,9.2722
10/31/2001,9.2542,9.2682,9.2421
11/01/2001,9.2892,9.2542,9.2682
11/02/2001,9.2783,9.2892,9.2542
11/03/2001,N/E,N/E,9.2892
11/04/2001,N/E,N/E,9.2892
11/05/2001,9.2221,9.2783,9.2892
11/06/2001,9.2132,9.2221,9.2783
11/07/2001,9.2088,9.2132,9.2221
11/08/2001,9.2115,9.2088,9.2132
11/09/2001,9.2318,9.2115,9.2088
11/10/2001,N/E,N/E,9.2115
11/11/2001,N/E,N/E,9.2115
11/12/2001,9.2708,9.2318,9.2115
11/13/2001,9.2519,9.2708,9.2318
11/14/2001,9.2362,9.2519,9.2708
11/15/2001,9.2028,9.2362,9.2519
11/16/2001,9.2121,9.2028,9.2362
11/17/2001,N/E,N/E,9.2028
11/18/2001,N/E,N/E,9.2028
11/19/2001,9.1968,9.2121,9.2028
11/20/2001,N/E,9.1968,9.2121
11/21/2001,9.1409,N/E,9.1968
11/22/2001,9.1547,9.1409,N/E
11/23/2001,9.1476,9.1547,9.1409
11/24/2001,N/E,N/E,9.1547
11/25/2001,N/E,N/E,9.1547
11/26/2001,9.1647,9.1476,9.1547
11/27/2001,9.2372,9.1647,9.1476
11/28/2001,9.2762,9.2372,9.1647
11/29/2001,9.2815,9.2762,9.2372
11/30/2001,9.2681,9.2815,9.2762
12/01/2001,N/E,N/E,9.2815
12/02/2001,N/E,N/E,9.2815
12/03/2001,9.2050,9.2681,9.2815
12/04/2001,9.2197,9.2050,9.2681
12/05/2001,9.2165,9.2197,9.2050
12/06/2001,9.2401,9.2165,9.2197
12/07/2001,9.2124,9.2401,9.2165
12/08/2001,N/E,N/E,9.2401
12/09/2001,N/E,N/E,9.2401
12/10/2001,9.1865,9.2124,9.2401
12/11/2001,9.1819,9.1865,9.2124
12/12/2001,N/E,9.1819,9.1865
12/13/2001,9.1204,N/E,9.1819
12/14/2001,9.0798,9.1204,N/E
12/15/2001,N/E,N/E,9.1204
12/16/2001,N/E,N/E,9.1204
12/17/2001,9.1198,9.0798,9.1204
12/18/2001,9.1052,9.1198,9.0798
12/19/2001,9.1175,9.1052,9.1198
12/20/2001,9.1682,9.1175,9.1052
12/21/2001,9.1235,9.1682,9.1175
12/22/2001,N/E,N/E,9.1682
12/23/2001,N/E,N/E,9.1682
12/24/2001,9.0923,9.1235,9.1682
12/25/2001,N/E,9.0923,9.1235
12/26/2001,9.0957,N/E,9.0923
12/27/2001,9.1423,9.0957,N/E
12/28/2001,9.1692,9.1423,9.0957
12/29/2001,N/E,N/E,9.1423
12/30/2001,N/E,N/E,9.1423
12/31/2001,9.1695,9.1692,9.1423
01/01/2002,N/E,9.1695,9.1692
01/02/2002,9.1037,N/E,9.1695
01/03/2002,9.1142,9.1037,N/E
01/04/2002,9.1368,9.1142,9.1037
01/05/2002,N/E,N/E,9.1142
01/06/2002,N/E,N/E,9.1142
01/07/2002,9.1554,9.1368,9.1142
01/08/2002,9.1678,9.1554,9.1368
01/09/2002,9.2044,9.1678,9.1554
01/10/2002,9.2444,9.2044,9.1678
01/11/2002,9.2734,9.2444,9.2044
01/12/2002,N/E,N/E,9.2444
01/13/2002,N/E,N/E,9.2444
01/14/2002,9.1923,9.2734,9.2444
01/15/2002,9.1711,9.1923,9.2734
01/16/2002,9.1993,9.1711,9.1923
01/17/2002,9.1255,9.1993,9.1711
01/18/2002,9.1190,9.1255,9.1993
01/19/2002,N/E,N/E,9.1255
01/20/2002,N/E,N/E,9.1255
01/21/2002,9.1219,9.1190,9.1255
01/22/2002,9.1521,9.1219,9.1190
01/23/2002,9.1480,9.1521,9.1219
01/24/2002,9.1227,9.1480,9.1521
01/25/2002,9.1295,9.1227,9.1480
01/26/2002,N/E,N/E,9.1227
01/27/2002,N/E,N/E,9.1227
01/28/2002,9.1585,9.1295,9.1227
01/29/2002,9.1714,9.1585,9.1295
01/30/2002,9.1974,9.1714,9.1585
01/31/2002,9.1463,9.1974,9.1714
02/01/2002,9.1544,9.1463,9.1974
02/02/2002,N/E,N/E,9.1463
02/03/2002,N/E,N/E,9.1463
02/04/2002,9.1627,9.1544,9.1463
02/05/2002,N/E,9.1627,9.1544
02/06/2002,9.1294,N/E,9.1627
02/07/2002,9.1381,9.1294,N/E
02/08/2002,9.1465,9.1381,9.1294
02/09/2002,N/E,N/E,9.1381
02/10/2002,N/E,N/E,9.1381
02/11/2002,9.0787,9.1465,9.1381
02/12/2002,9.0896,9.0787,9.1465
02/13/2002,9.0607,9.0896,9.0787
02/14/2002,9.0838,9.0607,9.0896
02/15/2002,9.0652,9.0838,9.0607
02/16/2002,N/E,N/E,9.0838
02/17/2002,N/E,N/E,9.0838
02/18/2002,9.0638,9.0652,9.0838
02/19/2002,9.0690,9.0638,9.0652
02/20/2002,9.0858,9.0690,9.0638
02/21/2002,9.0757,9.0858,9.0690
02/22/2002,9.1061,9.0757,9.0858
02/23/2002,N/E,N/E,9.0757
02/24/2002,N/E,N/E,9.0757
02/25/2002,9.0831,9.1061,9.0757
02/26/2002,9.0815,9.0831,9.1061
02/27/2002,9.0919,9.0815,9.0831
02/28/2002,9.1303,9.0919,9.0815
03/01/2002,9.0957,9.1303,9.0919
03/02/2002,N/E,N/E,9.1303
03/03/2002,N/E,N/E,9.1303
03/04/2002,9.0723,9.0957,9.1303
03/05/2002,9.0770,9.0723,9.0957
03/06/2002,9.0797,9.0770,9.0723
03/07/2002,9.0753,9.0797,9.0770
03/08/2002,9.0728,9.0753,9.0797
03/09/2002,N/E,N/E,9.0753
03/10/2002,N/E,N/E,9.0753
03/11/2002,9.0703,9.0728,9.0753
03/12/2002,9.0753,9.0703,9.0728
03/13/2002,9.1153,9.0753,9.0703
03/14/2002,9.1182,9.1153,9.0753
03/15/2002,9.0929,9.1182,9.1153
03/16/2002,N/E,N/E,9.1182
03/17/2002,N/E,N/E,9.1182
03/18/2002,9.0733,9.0929,9.1182
03/19/2002,9.0742,9.0733,9.0929
03/20/2002,9.0707,9.0742,9.0733
03/21/2002,N/E,9.0707,9.0742
03/22/2002,9.0403,N/E,9.0707
03/23/2002,N/E,N/E,N/E
03/24/2002,N/E,N/E,N/E
03/25/2002,9.0298,9.0403,N/E
03/26/2002,9.0243,9.0298,9.0403
03/27/2002,9.0160,9.0243,9.0298
03/28/2002,N/E,9.0160,9.0243
03/29/2002,N/E,N/E,9.0160
03/30/2002,N/E,N/E,N/E
03/31/2002,N/E,N/E,N/E
04/01/2002,9.0049,N/E,N/E
04/02/2002,8.9980,9.0049,N/E
04/03/2002,9.0398,8.9980,9.0049
04/04/2002,9.0468,9.0398,8.9980
04/05/2002,9.0266,9.0468,9.0398
04/06/2002,N/E,N/E,9.0468
04/07/2002,N/E,N/E,9.0468
04/08/2002,9.0217,9.0266,9.0468
04/09/2002,9.0422,9.0217,9.0266
04/10/2002,9.0446,9.0422,9.0217
04/11/2002,9.0771,9.0446,9.0422
04/12/2002,9.0749,9.0771,9.0446
04/13/2002,N/E,N/E,9.0771
04/14/2002,N/E,N/E,9.0771
04/15/2002,9.1714,9.0749,9.0771
04/16/2002,9.1597,9.1714,9.0749
04/17/2002,9.1904,9.1597,9.1714
04/18/2002,9.2345,9.1904,9.1597
04/19/2002,9.2247,9.2345,9.1904
04/20/2002,N/E,N/E,9.2345
04/21/2002,N/E,N/E,9.2345
04/22/2002,9.2663,9.2247,9.2345
04/23/2002,9.2698,9.2663,9.2247
04/24/2002,9.2908,9.2698,9.2663
04/25/2002,9.3528,9.2908,9.2698
04/26/2002,9.3196,9.3528,9.2908
04/27/2002,N/E,N/E,9.3528
04/28/2002,N/E,N/E,9.3528
04/29/2002,9.3542,9.3196,9.3528
04/30/2002,9.3720,9.3542,9.3196
05/01/2002,N/E,9.3720,9.3542
05/02/2002,9.4170,N/E,9.3720
05/03/2002,9.4978,9.4170,N/E
05/04/2002,N/E,N/E,9.4170
05/05/2002,N/E,N/E,9.4170
05/06/2002,9.4913,9.4978,9.4170
05/07/2002,9.4828,9.4913,9.4978
05/08/2002,9.4170,9.4828,9.4913
05/09/2002,9.4463,9.4170,9.4828
05/10/2002,9.5102,9.4463,9.4170
05/11/2002,N/E,N/E,9.4463
05/12/2002,N/E,N/E,9.4463
05/13/2002,9.4933,9.5102,9.4463
05/14/2002,9.5204,9.4933,9.5102
05/15/2002,9.4717,9.5204,9.4933
05/16/2002,9.4863,9.4717,9.5204
05/17/2002,9.4710,9.4863,9.4717
05/18/2002,N/E,N/E,9.4863
05/19/2002,N/E,N/E,9.4863
05/20/2002,9.4910,9.4710,9.4863
05/21/2002,9.5133,9.4910,9.4710
05/22/2002,9.5245,9.5133,9.4910
05/23/2002,9.5165,9.5245,9.5133
05/24/2002,9.5585,9.5165,9.5245
05/25/2002,N/E,N/E,9.5165
05/26/2002,N/E,N/E,9.5165
05/27/2002,9.5700,9.5585,9.5165
05/28/2002,9.5586,9.5700,9.5585
05/29/2002,9.6134,9.5586,9.5700
05/30/2002,9.7148,9.6134,9.5586
05/31/2002,9.6562,9.7148,9.6134
06/01/2002,N/E,N/E,9.7148
06/02/2002,N/E,N/E,9.7148
06/03/2002,9.6398,9.6562,9.7148
06/04/2002,9.7060,9.6398,9.6562
06/05/2002,9.7345,9.7060,9.6398
06/06/2002,9.7760,9.7345,9.7060
06/07/2002,9.7412,9.7760,9.7345
06/08/2002,N/E,N/E,9.7760
06/09/2002,N/E,N/E,9.7760
06/10/2002,9.6993,9.7412,9.7760
06/11/2002,9.6607,9.6993,9.7412
06/12/2002,9.7035,9.6607,9.6993
06/13/2002,9.6532,9.7035,9.6607
06/14/2002,9.6684,9.6532,9.7035
06/15/2002,N/E,N/E,9.6532
06/16/2002,N/E,N/E,9.6532
06/17/2002,9.6078,9.6684,9.6532
06/18/2002,9.6258,9.6078,9.6684
06/19/2002,9.6983,9.6258,9.6078
06/20/2002,9.7676,9.6983,9.6258
06/21/2002,9.9473,9.7676,9.6983
06/22/2002,N/E,N/E,9.7676
06/23/2002,N/E,N/E,9.7676
06/24/2002,9.9360,9.9473,9.7676
06/25/2002,9.8203,9.9360,9.9473
06/26/2002,9.9998,9.8203,9.9360
06/27/2002,9.9615,9.9998,9.8203
06/28/2002,9.9568,9.9615,9.9998
06/29/2002,N/E,N/E,9.9615
06/30/2002,N/E,N/E,9.9615
07/01/2002,9.9283,9.9568,9.9615
07/02/2002,9.9612,9.9283,9.9568
07/03/2002,9.9670,9.9612,9.9283
07/04/2002,9.9502,9.9670,9.9612
07/05/2002,9.9034,9.9502,9.9670
07/06/2002,N/E,N/E,9.9502
07/07/2002,N/E,N/E,9.9502
07/08/2002,9.9223,9.9034,9.9502
07/09/2002,9.8552,9.9223,9.9034
07/10/2002,9.8338,9.8552,9.9223
07/11/2002,9.7979,9.8338,9.8552
07/12/2002,9.7072,9.7979,9.8338
07/13/2002,N/E,N/E,9.7979
07/14/2002,N/E,N/E,9.7979
07/15/2002,9.7522,9.7072,9.7979
07/16/2002,9.7345,9.7522,9.7072
07/17/2002,9.6468,9.7345,9.7522
07/18/2002,9.6462,9.6468,9.7345
07/19/2002,9.7053,9.6462,9.6468
07/20/2002,N/E,N/E,9.6462
07/21/2002,N/E,N/E,9.6462
07/22/2002,9.6285,9.7053,9.6462
07/23/2002,9.6130,9.6285,9.7053
07/24/2002,9.7018,9.6130,9.6285
07/25/2002,9.7158,9.7018,9.6130
07/26/2002,9.7652,9.7158,9.7018
07/27/2002,N/E,N/E,9.7158
07/28/2002,N/E,N/E,9.7158
07/29/2002,9.6944,9.7652,9.7158
07/30/2002,9.7410,9.6944,9.7652
07/31/2002,9.7861,9.7410,9.6944
08/01/2002,9.8769,9.7861,9.7410
08/02/2002,9.8412,9.8769,9.7861
08/03/2002,N/E,N/E,9.8769
08/04/2002,N/E,N/E,9.8769
08/05/2002,9.7928,9.8412,9.8769
08/06/2002,9.7473,9.7928,9.8412
08/07/2002,9.7348,9.7473,9.7928
08/08/2002,9.7335,9.7348,9.7473
08/09/2002,9.7640,9.7335,9.7348
08/10/2002,N/E,N/E,9.7335
08/11/2002,N/E,N/E,9.7335
08/12/2002,9.8402,9.7640,9.7335
08/13/2002,9.9512,9.8402,9.7640
