Country,Units,Scale,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Estimates Start After
Mauritius,U.S. dollars,Units,"3,859.15","4,102.59","4,026.94","4,196.43","5,005.42","5,626.00","5,516.20","5,695.98","6,574.66","8,030.05","7,318.13","8,000.38","9,197.04","9,291.24","9,637.02","10,151.73","9,258.56","9,681.42","10,485.01","11,205.37","11,099.23",2021
Mozambique,U.S. dollars,Units,346.574,319.358,296.268,302.546,326.075,383.27,416.811,435.334,482.198,563.649,520.403,471.904,594.586,657.645,664.078,673.969,589.86,428.927,461.415,504.536,508.164,2015
Namibia,U.S. dollars,Units,"2,118.41","2,156.03","1,954.97","1,825.85","2,630.11","3,470.15","3,742.51","3,870.94","4,378.56","4,198.55","4,340.18","5,410.98","5,870.93","6,038.86","5,540.62","5,555.93","5,020.47","4,611.51","5,438.76","5,666.27","5,099.43",2021
Niger,U.S. dollars,Units,231.66,197.275,207.769,227.424,267.409,285.388,320.923,335.334,389.256,477.27,462.267,476.062,511.488,528.918,551.554,562.885,484.171,497.882,517.771,572.564,553.905,2009
Nigeria,U.S. dollars,Units,481.951,554.64,583.187,730.836,780.399,963.236,"1,221.65","1,563.03","1,791.82","2,197.78","1,927.48","2,328.43","2,543.50","2,756.41","2,998.07","3,222.69","2,718.59","2,176.00","1,968.56","2,153.09","2,229.85",2012
Rwanda,U.S. dollars,Units,284.166,266.055,248.99,242.079,257.475,277.634,334.407,368.508,442.135,545.188,584.677,612.224,674.655,728.668,730.465,748.658,755.951,755.737,784.138,797.48,836.716,2012
S„o TomÈ and PrÌncipe,U.S. dollars,Units,568.499,550.516,505.213,552.891,647.954,692.685,809.407,839.546,885.101,"1,125.88","1,098.37","1,128.31","1,302.78","1,380.11","1,619.71","1,826.92","1,623.81","1,737.73","1,842.33","1,988.72","2,021.93",2011
Senegal,U.S. dollars,Units,689.683,614.004,648.446,680.83,831.623,931.745,993.237,"1,027.79","1,197.55","1,403.80","1,307.52","1,272.62","1,366.53","1,318.61","1,372.69","1,397.02","1,219.37","1,269.55","1,361.22","1,458.73","1,436.22",2020
Seychelles,U.S. dollars,Units,"7,747.49","7,578.83","7,663.08","8,431.92","8,524.94","10,176.66","11,093.31","12,014.42","12,155.70","11,480.43","9,707.27","10,805.10","11,647.02","11,999.90","14,762.22","15,189.42","15,199.44","15,887.01","16,659.12","17,059.80","17,454.85",2015
Sierra Leone,U.S. dollars,Units,218.906,205.251,228.033,251.704,265.323,264.775,285.106,323.259,360.425,409.443,391.213,401.835,448.324,566.37,716.148,713.53,592.903,525.948,495.812,533.972,521.396,2021
South Africa,U.S. dollars,Units,"3,423.60","3,382.07","2,964.03","2,791.18","4,209.22","5,415.09","6,033.21","6,276.17","6,776.47","6,355.88","6,552.27","8,130.19","8,799.48","8,207.06","7,458.04","6,984.93","6,256.67","5,750.79","6,678.29","6,972.70","6,609.04",2021
South Sudan,U.S. dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,644.74","1,041.46","1,337.23","1,334.09","1,245.68",286.208,277.692,359.062,397.572,2008
Tanzania,U.S. dollars,Units,370.918,380.08,377.469,382.354,401.069,428.927,459.757,491.056,551.781,683.137,693.025,732.315,768.16,867.857,970.348,"1,030.74",947.897,966.29,"1,002.87","1,036.93","1,079.68",2012
Togo,U.S. dollars,Units,495.79,409.01,395.011,442.767,535.374,557.462,548.802,550.519,606.782,736.985,728.528,721.037,791.925,771.891,838.357,864.996,770.358,802.935,830.452,901.932,893.161,2020
Uganda,U.S. dollars,Units,370.515,355.466,347.812,361.953,361.772,430.758,483.032,527.739,634.361,784.496,815.808,808.713,872.039,950.56,964.833,960.698,779.047,809.498,833.537,880.467,955.694,2021
Zambia,U.S. dollars,Units,330.283,340.164,356.323,376.468,429.01,530.54,691.554,"1,030.69","1,103.69","1,365.93","1,135.01","1,456.05","1,635.17","1,724.63","1,839.33","1,726.65","1,310.46","1,254.12","1,500.96","1,480.42","1,272.24",2019
Zimbabwe,U.S. dollars,Units,"1,003.83",969.824,964.08,922.878,822.472,806.898,764.632,677.881,646.558,553.376,790.352,975.851,"1,131.68","1,310.44","1,421.70","1,415.28","1,425.47","1,444.72","1,481.24","2,523.25","1,542.75",2017
